# blastn
# Iteration: 0
# Query: tig00000001
# RID: 7XGHPEP3114
# Database: n/a
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1887 hits found
tig00000001	AP012342.1	75.255	11554	2589	102	2227791	2239194	2495707	2484274	0.0	7731
tig00000001	AP012342.1	72.023	13847	3603	103	1727596	1741302	863135	876850	0.0	7286
tig00000001	AP012342.1	82.520	4857	699	61	1883197	1887952	1215919	1220726	0.0	4792
tig00000001	AP012342.1	91.674	3315	217	22	1951115	1954384	1072385	1069085	0.0	4689
tig00000001	AP012342.1	91.674	3315	217	22	1883197	1886466	1069085	1072385	0.0	4689
tig00000001	AP012342.1	91.674	3315	218	22	1951115	1954384	1219220	1215919	0.0	4688
tig00000001	AP012342.1	91.674	3315	218	23	1951115	1954384	1063777	1060476	0.0	4683
tig00000001	AP012342.1	91.674	3315	218	23	1883197	1886466	1060476	1063777	0.0	4683
tig00000001	AP012342.1	74.284	6988	1676	57	2452773	2459717	1304654	1297745	0.0	4353
tig00000001	AP012342.1	67.963	9389	2724	115	1741535	1750809	877089	886307	0.0	3109
tig00000001	AP012342.1	91.302	1897	143	10	1954419	1956313	1060380	1058504	0.0	2653
tig00000001	AP012342.1	91.302	1897	143	10	1881268	1883162	1058504	1060380	0.0	2653
tig00000001	AP012342.1	91.302	1897	143	10	1954419	1956313	1215823	1213947	0.0	2653
tig00000001	AP012342.1	91.302	1897	143	10	1881268	1883162	1213947	1215823	0.0	2653
tig00000001	AP012342.1	91.249	1897	144	10	1954419	1956313	1068989	1067113	0.0	2648
tig00000001	AP012342.1	91.249	1897	144	10	1881268	1883162	1067113	1068989	0.0	2648
tig00000001	AP012342.1	71.613	4805	1281	44	859462	864235	2558897	2554145	0.0	2393
tig00000001	AP012342.1	71.521	4477	1253	13	1327223	1331689	1130998	1126534	0.0	2287
tig00000001	AP012342.1	68.692	5893	1750	34	147065	152899	1712016	1717871	0.0	2242
tig00000001	AP012342.1	71.407	4585	1224	44	420738	425268	1194451	1189900	0.0	2239
tig00000001	AP012342.1	71.757	4348	1110	50	1840419	1844689	983153	987459	0.0	2186
tig00000001	AP012342.1	94.816	1389	72	0	465361	466749	2023606	2022218	0.0	2181
tig00000001	AP012342.1	71.846	4241	1135	31	790405	794618	75027	70819	0.0	2179
tig00000001	AP012342.1	94.813	1388	72	0	2498380	2499767	2023606	2022219	0.0	2179
tig00000001	AP012342.1	94.813	1388	72	0	1186023	1187410	2022219	2023606	0.0	2179
tig00000001	AP012342.1	69.343	5082	1400	58	204049	209046	1767490	1772497	0.0	2022
tig00000001	AP012342.1	73.110	3518	860	34	1716520	1720004	852122	855586	0.0	2004
tig00000001	AP012342.1	86.766	1670	198	10	1357463	1359122	1298987	1297331	0.0	1992
tig00000001	AP012342.1	73.084	3444	881	19	1723678	1727102	859234	862650	0.0	1988
tig00000001	AP012342.1	89.595	1432	145	2	2498374	2499802	1446623	1445193	0.0	1906
tig00000001	AP012342.1	90.367	1391	134	0	465360	466750	1446619	1445229	0.0	1905
tig00000001	AP012342.1	90.404	1386	133	0	465361	466746	1319911	1321296	0.0	1901
tig00000001	AP012342.1	90.404	1386	133	0	1186025	1187410	1321296	1319911	0.0	1901
tig00000001	AP012342.1	90.404	1386	133	0	2498380	2499765	1319911	1321296	0.0	1901
tig00000001	AP012342.1	90.404	1386	133	0	1186025	1187410	1445233	1446618	0.0	1901
tig00000001	AP012342.1	77.236	2381	537	2	1254864	1257240	1963472	1961093	0.0	1847
tig00000001	AP012342.1	98.017	1059	21	0	1377917	1378975	18781	17723	0.0	1816
tig00000001	AP012342.1	73.152	3166	789	27	2443564	2446698	1252723	1255858	0.0	1811
tig00000001	AP012342.1	74.177	2796	708	7	1947514	1950302	1076031	1073243	0.0	1769
tig00000001	AP012342.1	89.716	1303	133	1	354806	356108	2264089	2262788	0.0	1743
tig00000001	AP012342.1	73.368	2880	729	16	1455843	1458707	675509	678365	0.0	1699
tig00000001	AP012342.1	72.590	3039	796	16	154489	157503	1719390	1722415	0.0	1687
tig00000001	AP012342.1	72.700	3000	787	15	690919	693900	233613	230628	0.0	1680
tig00000001	AP012342.1	71.980	3055	785	16	943810	946807	2410188	2407148	0.0	1643
tig00000001	AP012342.1	85.704	1392	185	3	1596062	1597440	79702	78312	0.0	1613
tig00000001	AP012342.1	77.306	2027	443	10	1402562	1404580	621881	623898	0.0	1553
tig00000001	AP012342.1	71.102	3149	779	35	425695	428771	1189557	1186468	0.0	1537
tig00000001	AP012342.1	70.787	3163	893	18	1771384	1774529	907657	910805	0.0	1486
tig00000001	AP012342.1	75.954	2071	438	20	2528754	2530781	1531372	1533425	0.0	1454
tig00000001	AP012342.1	73.915	2350	597	8	267910	270246	1845755	1848101	0.0	1453
tig00000001	AP012342.1	85.897	1248	173	3	1596203	1597449	1340917	1339672	0.0	1447
tig00000001	AP012342.1	74.555	2189	524	12	512019	514186	445303	443127	0.0	1413
tig00000001	AP012342.1	70.201	3141	871	24	51542	54664	1649761	1652854	0.0	1396
tig00000001	AP012342.1	71.234	2788	775	10	1888391	1891160	1223446	1226224	0.0	1392
tig00000001	AP012342.1	77.514	1770	386	6	1369999	1371765	547873	546113	0.0	1382
tig00000001	AP012342.1	77.203	1816	400	9	2420240	2422048	1478479	1480287	0.0	1381
tig00000001	AP012342.1	68.913	3532	983	39	1961481	1964954	1211135	1207661	0.0	1348
tig00000001	AP012342.1	81.972	1359	243	1	1540024	1541380	753634	754992	0.0	1344
tig00000001	AP012342.1	66.857	4897	1456	72	1473824	1478644	693884	698689	0.0	1341
tig00000001	AP012342.1	70.368	3017	793	38	764566	767551	118614	115668	0.0	1331
tig00000001	AP012342.1	73.307	2244	583	7	2121714	2123949	1462456	1464691	0.0	1330
